Jeff	4
Jeff	2
John	0
John	0
Jeff	9
Jeff	1
John	0
John	0
Jeff	10
John	0
John	0
Jeff	0
Jeff	2
John	0
John	0
Jeff	7
Jeff	2
John	0
John	0
Jeff	7
Jeff	3
John	0
John	0
Jeff	2
Jeff	7
John	0
John	0
Jeff	5
Jeff	5
John	0
John	0
Jeff	4
Jeff	3
John	0
John	0
Jeff	0
Jeff	9
John	0
John	0
Jeff	3
Jeff	5
John	0
John	0
Jeff	2
Jeff	2
John	0
John	0
Jeff	10
John	0
John	0
Jeff	10
John	0
John	0
Jeff	7
Jeff	3
John	0
John	0
Jeff	10
John	0
John	0
Jeff	1
Jeff	4
John	0
John	0
Jeff	6
Jeff	4
John	0
John	0
Jeff	3
Jeff	6
John	0
John	0
Jeff	5
Jeff	4
John	0
John	0
